danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo,pais
0.743,Scally Milano,5mE3uSxYQu5QfCyPVubftA,Дай Мне Шанс,8,0.504,0.138,140800,-9.005,0.272,149.986,BIEL
0.292,Kill Eva,4rhFCNBhQwQmrNzN6WcPTQ,Psycho Dreams (Sped Up),5,0.603,0.000788,123333,-5.711,0.045,158.061,BIEL
0.643,xxxmanera,21LIoC4ZxT3F8xq9gidNbX,Never Broke Again,1,0.573,0.0126,108069,-6.992,0.0466,139.94,BIEL
0.904,MACAN,0ndWY0kASiq9s2Fx76W4Jq,ASPHALT 8,11,0.834,0.373,135570,-4.927,0.162,124.004,BIEL
0.852,Monetochka,0tdRgufTWFxk2QgYyIifQH,Папина любовница,0,0.645,0.34,208973,-6.275,0.0306,120.045,BIEL
0.386,Korol i Shut,2DYzsMQpO7xOw7b3JwyIWP,Кукла колдуна,2,0.796,0.0259,202040,-4.76,0.0413,148.6,BIEL
0.61,Три дня дождя,1yrQI5Ycgi7xU9P4i98NXL,Отпускай,8,0.903,0.000921,207321,-5.205,0.0289,112.028,BIEL
0.366,Korol i Shut,2sxdC5eX9f5VmtDsb857Sg,Лесник,9,0.779,0.0192,191613,-10.715,0.0788,169.688,BIEL
0.587,madk1d,5OINAHhtxYnLi62jWszSNs,Толпы,1,0.92,0.00119,90430,-4.279,0.483,162.612,BIEL
0.65,Кишлак,0olubSy8HbZBrCJlSHV7ex,Я уёбываю в джаз,8,0.477,0.207,144923,-5.944,0.144,135.419,BIEL
0.863,INSTASAMKA,4PGzoH4hL1vORGOTxHdWjB,ЗА ДЕНЬГИ ДА,4,0.621,0.0112,119476,-6.729,0.167,114.977,BIEL
0.434,Korol i Shut,1aAcW69jxv3pp3I84oZGqP,Дурак и молния,1,0.744,0.111,114334,-9.449,0.194,178.879,BIEL
0.723,OG Buda,3qCPpBdgNJf1xG9t8O2pjJ,Для Тебя (Пусто),11,0.399,0.459,136421,-11.133,0.247,95.017,BIEL
0.773,MACAN,0uNlsRmW2hrU5UKtBMZE7A,IVL,4,0.556,0.714,200133,-5.319,0.0312,110.023,BIEL
0.497,ooes,0K5arhAxYWj7QxFhpKJe6z,последнее лето,0,0.661,0.515,137739,-7.364,0.0517,172.507,BIEL
0.358,Skryptonite,1P9oRiZJWnxe2pZmYUZ5eC,Это любовь,0,0.416,0.325,279250,-10.972,0.0596,139.945,BIEL
0.593,INTERWORLD,2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,7,0.641,0.426,142839,-12.727,0.0992,175.014,BIEL
0.779,LOVV66,2kLmAwQCBSlvtcptioAoTv,5IVE,1,0.565,0.0977,143014,-10.098,0.37,145.989,BIEL
0.815,YUNGWAY,0cxKqzCYTNND97CQOBWtha,Магазин,6,0.514,0.425,109728,-11.039,0.28,104.985,BIEL
0.815,(G)I-DLE,4uOBL4DDWWVx4RhYKlPbPC,Queencard,4,0.834,0.0327,161240,-2.828,0.0475,129.989,BIEL
0.304,Korol i Shut,4sIIHmcTHgi8gezH2ShNxl,Прыгну со скалы,9,0.764,0.249,190507,-5.602,0.0634,151.98,BIEL
0.808,OBLADAET,28lO8d1SnAIX7Wnn8tc0PA,Дом С Привидениями,2,0.485,0.593,182544,-8.173,0.309,142.011,BIEL
0.732,Kravz,22wJ9bOXnRDWLSZlCe4pi7,Где прошла ты,8,0.572,0.266,168000,-7.948,0.118,109.896,BIEL
0.754,Agatha Christie,12Jgi4t8YPs8G858lNGfZm,Как на войне,7,0.39,0.401,244933,-13.485,0.0829,137.224,BIEL
0.616,Pepel Nahudi,5KmAZ5rjYffZZcVPDsKf8E,Заново завоевать (Speed Up),7,0.513,0.00241,87846,-7.678,0.0462,83.089,BIEL
0.717,10AGE,6RmlamfS2Supq8wARlY0QQ,Ау,10,0.431,0.691,180822,-10.146,0.264,146.07,BIEL
0.916,INSTASAMKA,6F81SMHDIUMRyBb9bJ2ZRL,Отключаю телефон,1,0.68,0.101,153143,-6.279,0.221,104.969,BIEL
0.423,FACE,26yvlxKTtN2u3mpbl6AIeI,Антидепрессант,4,0.657,0.607,120216,-6.361,0.0486,129.904,BIEL
0.655,zhanulka,7ojBwkKhmZzXDjrqwfLH26,портреты - Acoustic,4,0.308,0.903,172095,-9.904,0.0356,94.811,BIEL
0.868,Big Baby Tape,5Z8YDahqRCzMQRwKZPk5dC,Million,6,0.677,0.0284,134724,-4.61,0.223,165.029,BIEL
0.7,Кишлак,5a6wqVqrV0yjsziNl4q8Gi,Самый лучший день,0,0.749,0.0179,93257,-6.288,0.14,175.111,BIEL
0.829,daryana,24wc81Y0AA6uMsikUF4NSv,Заставлял,11,0.613,0.1,130154,-5.207,0.0566,141.862,BIEL
0.551,КАКАЯ РАЗНИЦА,0VGLb6IeeG5ZqonN5EavDu,Рассвет,5,0.827,0.00688,124800,-6.908,0.0643,99.97,BIEL
